Date,Message
2026-04-10T01:00:00.000+03:00,"CSV Header: Timestamp, Open, High, Low, Close, Volume, ATR, SMA_ATR"
2026-04-10T01:00:00.000+03:00,"2025-11-18 18:00, 4068.81, 4132.81, 4055.57, 4077.97, 499672, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-11-19 18:00, 4080.02, 4110.06, 4038.76, 4077.26, 523932, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-11-20 18:00, 4074.6, 4101.16, 4022.39, 4065.8, 526599, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-11-23 18:00, 4068.96, 4139.99, 4039.91, 4134.78, 468660, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-11-24 18:00, 4133.73, 4159.25, 4109.49, 4130.59, 486393, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-11-25 18:00, 4132.59, 4173.45, 4129.66, 4163.9, 455552, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-11-26 18:00, 4165.09, 4168.78, 4142.53, 4157.35, 353138, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-11-27 18:00, 4159.71, 4226.82, 4152.58, 4219.29, 330962, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-11-30 18:00, 4229.15, 4264.59, 4205.56, 4232.16, 521931, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-01 18:00, 4228.59, 4236, 4163.42, 4205.42, 479492, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-02 18:00, 4205.93, 4241.49, 4194.63, 4203.08, 487891, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-03 18:00, 4204.52, 4219.29, 4175.07, 4208.59, 482268, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-04 18:00, 4207.1, 4259.32, 4191.87, 4196.32, 465693, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-07 18:00, 4196.08, 4219.02, 4176.3, 4190.46, 456732, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-08 18:00, 4191.09, 4221.31, 4169.77, 4208.32, 473194, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-09 18:00, 4209.56, 4238.77, 4181.8, 4228.56, 460698, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-10 18:00, 4229.64, 4285.94, 4204.48, 4279.79, 487866, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-11 18:00, 4281.49, 4353.54, 4257.28, 4300.22, 512428, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-14 18:00, 4295.98, 4350.43, 4285.32, 4305.04, 482449, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-15 18:00, 4306.8, 4335.01, 4271.56, 4302.16, 488018, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-16 18:00, 4301.01, 4349.16, 4301.01, 4338.31, 487936, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-17 18:00, 4337.77, 4374.63, 4308.51, 4332.51, 482434, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-18 18:00, 4334.04, 4356.47, 4309.38, 4338.6, 447436, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-21 18:00, 4338.52, 4449.01, 4338.06, 4443.68, 448540, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-22 18:00, 4447.56, 4499.75, 4430.48, 4484.74, 492935, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-23 18:00, 4486.01, 4525.76, 4448.1, 4479.37, 448627, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-25 18:00, 4498.82, 4549.86, 4479.87, 4531.68, 520000, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-28 18:00, 4548.84, 4549.09, 4302.49, 4331.77, 565469, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2025-12-29 18:00, 4336.51, 4404.26, 4323.23, 4338.48, 522963, NaN, NaN"
